"notation","title","description","id"
"","Afrikanisch","","g4q"
"","Belgisches Französisch","","u4e"
"","Bretonisch","","f5q"
"","Kanadisch","","h7q"
"","Korsisch","","z5v"
"","Kreolisch","","x2b"
"","Luxemburgisch","","h7h"
"","Schweizer Französisch","","e5s"
"","Südfranzösisch","","c3e"
